"","11.1.3.Proporción de la población urbana que habita en viviendas precarias","","","","","","","","","","","",""
"La Grandeza","","","","","","","","","","","","",""
"Huehuetán","","","","","","","","","","","","",""
"Huixtán","","","","","","","","","","","","",""
"Huitiupán","","","","","","","","","","","","",""
"Huixtla","","","42.92","","","","","","44.59","","","",""
"La Independencia","","","","","","","","","","","","",""
"Ixhuatán","","","","","","","","","","","","",""
"Ixtacomitán","","","","","","","","","","","","",""
"Ixtapa","","","","","","","","","","","","",""
"Ixtapangajoya","","","","","","","","","","","","",""
"Jiquipilas","","","","","","","","","","","","",""
"Jitotol","","","","","","","","","","","","",""
"Juárez","","","","","","","","","","","","",""
"Larráinzar","","","","","","","","","","","","",""
"La Libertad","","","","","","","","","","","","",""
"Mapastepec","","","29.92","","","","","","","","","",""
"Las Margaritas","","","28.63","","","","","","","","","",""
"Mazapa de Madero","","","","","","","","","","","","",""
"Mazatán","","","","","","","","","","","","",""
"Metapa","","","","","","","","","","","","",""
"Mitontic","","","","","","","","","","","","",""
"Motozintla","","","22.21","","","","","","19.09","","","",""
"Nicolás Ruíz","","","","","","","","","","","","",""
"Ocosingo","","","36.91","","","","","","34.88","","","",""
"Ocotepec","","","","","","","","","","","","",""
"Ocozocoautla de Espinosa","","","35.14","","","","","","41.21","","","",""
"Ostuacán","","","","","","","","","","","","",""
"Osumacinta","","","","","","","","","","","","",""
"Oxchuc","","","","","","","","","","","","",""
"Palenque","","","40.31","","","","","","43.74","","","",""
"Pantelhó","","","","","","","","","","","","",""
"Pantepec","","","","","","","","","","","","",""
"Pichucalco","","","","","","","","","","","","",""
"Pijijiapan","","","47.73","","","","","","","","","",""
"El Porvenir","","","","","","","","","","","","",""
"Villa Comaltitlán","","","","","","","","","","","","",""
"Pueblo Nuevo Solistahuacán","","","","","","","","","","","","",""
"Rayón","","","","","","","","","","","","",""
"Reforma","","","30.05","","","","","","43.96","","","",""
"Las Rosas","","","49.81","","","","","","66.4","","","",""
"Sabanilla","","","","","","","","","","","","",""
"Salto de Agua","","","","","","","","","","","","",""
"San Cristóbal de las Casas","","","33.37","","","","","","38.76","","","",""
"San Fernando","","","","","","","","","","","","",""
"Siltepec","","","","","","","","","","","","",""
"Simojovel","","","","","","","","","","","","",""
"Sitalá","","","","","","","","","","","","",""
"Socoltenango","","","","","","","","","","","","",""
"Solosuchiapa","","","","","","","","","","","","",""
"Soyaló","","","","","","","","","","","","",""
"Suchiapa","","","45.61","","","","","","","","","",""
"Suchiate","","","","","","","","","","","","",""
"Sunuapa","","","","","","","","","","","","",""
"Tapachula","","","35.33","","","","","","38.29","","","",""
"Tapalapa","","","","","","","","","","","","",""
"Tapilula","","","","","","","","","","","","",""
"Tecpatán","","","","","","","","","","","","",""
"Tenejapa","","","","","","","","","","","","",""
"Teopisca","","","37.13","","","","","","","","","",""
"Tila","","","","","","","","","","","","",""
"Tonalá","","","40.65","","","","","","38.41","","","",""
"Totolapa","","","","","","","","","","","","",""
"La Trinitaria","","","","","","","","","","","","",""
"Tumbalá","","","","","","","","","","","","",""
"Tuxtla Gutiérrez","","","27.63","","","","","","35.68","","","",""
"Tuxtla Chico","","","","","","","","","","","","",""
"Tuzantán","","","","","","","","","","","","",""
"Tzimol","","","","","","","","","","","","",""
"Unión Juárez","","","","","","","","","","","","",""
"Venustiano Carranza","","","42.05","","","","","","","","","",""
"Villa Corzo","","","","","","","","","","","","",""
"Villaflores","","","32.24","","","","","","35.62","","","",""
"Yajalón","","","37.05","","","","","","","","","",""
"San Lucas","","","","","","","","","","","","",""
"Zinacantán","","","","","","","","","","","","",""
"San Juan Cancuc","","","","","","","","","","","","",""
"Aldama","","","","","","","","","","","","",""
"Benemérito de las Américas","","","","","","","","","","","","",""
"Maravilla Tenejapa","","","","","","","","","","","","",""
"Marqués de Comillas","","","","","","","","","","","","",""
"Montecristo de Guerrero","","","","","","","","","","","","",""
"San Andrés Duraznal","","","","","","","","","","","","",""
"Santiago el Pinar","","","","","","","","","","","","",""
"Chihuahua","6.49","8.45","5.8","5.73","","","","","","","","",""
"Ahumada","","","","","","","","","","","","",""
"Aldama","","","12.66","","","","","","23.62","","","",""
"Allende","","","","","","","","","","","","",""
"Aquiles Serdán","","","","","","","","","","","","",""
"Ascensión","","","","","","","","","","","","",""
"Bachíniva","","","","","","","","","","","","",""
"Balleza","","","","","","","","","","","","",""
"Batopilas","","","","","","","","","","","","",""
"Bocoyna","","","","","","","","","","","","",""
"Buenaventura","","","","","","","","","","","","",""
"Camargo","","","11.67","","","","","","10.52","","","",""
"Carichí","","","","","","","","","","","","",""
"Casas Grandes","","","","","","","","","","","","",""
"Coronado","","","","","","","","","","","","",""
"Coyame del Sotol","","","","","","","","","","","","",""
"La Cruz","","","","","","","","","","","","",""
"Cuauhtémoc","","","14.85","","","","","","17.78","","","",""
"Cusihuiriachi","","","","","","","","","","","","",""
"Chihuahua","","","11.05","","","","","","8.71","","","",""
"Chínipas","","","","","","","","","","","","",""
"Delicias","","","15.88","","","","","","11.41","","","",""
"Dr. Belisario Domínguez","","","","","","","","","","","","",""
"Galeana","","","","","","","","","","","","",""
"Santa Isabel","","","","","","","","","","","","",""
"Gómez Farías","","","","","","","","","","","","",""
"Gran Morelos","","","","","","","","","","","","",""
"Guachochi","","","","","","","","","","","","",""
"Guadalupe","","","","","","","","","","","","",""
"Guadalupe y Calvo","","","","","","","","","","","","",""
"Guazapares","","","","","","","","","","","","",""
"Guerrero","","","","","","","","","","","","",""
"Hidalgo del Parral","","","13.29","","","","","","12.92","","","",""
"Huejotitán","","","","","","","","","","","","",""
"Ignacio Zaragoza","","","","","","","","","","","","",""
"Janos","","","","","","","","","","","","",""
"Jiménez","","","13.69","","","","","","11.47","","","",""
"Juárez","","","13.58","","","","","","18.51","","","",""
"Julimes","","","","","","","","","","","","",""
"López","","","","","","","","","","","","",""
"Madera","","","31.67","","","","","","","","","",""
"Maguarichi","","","","","","","","","","","","",""
"Manuel Benavides","","","","","","","","","","","","",""
"Matachí","","","","","","","","","","","","",""
"Matamoros","","","","","","","","","","","","",""
"Meoqui","","","16.39","","","","","","11.37","","","",""
"Morelos","","","","","","","","","","","","",""
"Moris","","","","","","","","","","","","",""
"Namiquipa","","","","","","","","","","","","",""
"Nonoava","","","","","","","","","","","","",""
"Nuevo Casas Grandes","","","11.37","","","","","","22.51","","","",""
"Ocampo","","","","","","","","","","","","",""
"Ojinaga","","","12.21","","","","","","11.26","","","",""
"Praxedis G. Guerrero","","","","","","","","","","","","",""
"Riva Palacio","","","","","","","","","","","","",""
"Rosales","","","","","","","","","","","","",""
"Rosario","","","","","","","","","","","","",""
"San Francisco de Borja","","","","","","","","","","","","",""
"San Francisco de Conchos","","","","","","","","","","","","",""
"San Francisco del Oro","","","","","","","","","","","","",""
"Santa Bárbara","","","","","","","","","","","","",""
"Satevó","","","","","","","","","","","","",""
"Saucillo","","","","","","","","","","","","",""
"Temósachic","","","","","","","","","","","","",""
"El Tule","","","","","","","","","","","","",""
"Urique","","","","","","","","","","","","",""
"Uruachi","","","","","","","","","","","","",""
"Valle de Zaragoza","","","","","","","","","","","","",""
"Ciudad de México","11.03","14.14","13.76","15.56","","","","","","","","",""
"Azcapotzalco","","","15.36","","","","","","11.8","","","",""
"Coyoacán","","","14.67","","","","","","14.92","","","",""
"Cuajimalpa de Morelos","","","21.18","","","","","","15.27","","","",""
"Gustavo A. Madero","","","19.23","","","","","","15.5","","","",""
"Iztacalco","","","16.36","","","","","","16.5","","","",""
"Iztapalapa","","","19.52","","","","","","20.44","","","",""
"La Magdalena Contreras","","","30.41","","","","","","26.48","","","",""
"Milpa Alta","","","34.44","","","","","","35.85","","","",""
"Álvaro Obregón","","","21.47","","","","","","22.77","","","",""
"Tláhuac","","","20.99","","","","","","20.46","","","",""
"Tlalpan","","","31.86","","","","","","25.11","","","",""
"Xochimilco","","","23.8","","","","","","33.74","","","",""
"Benito Juárez","","","12.13","","","","","","3.33","","","",""
"Cuauhtémoc","","","14.03","","","","","","7.75","","","",""
"Miguel Hidalgo","","","10.54","","","","","","10.92","","","",""
"Venustiano Carranza","","","15.92","","","","","","11.49","","","",""
"Durango","6.5","9.87","10.4","12.05","","","","","","","","",""
"Canatlán","","","","","","","","","","","","",""
"Canelas","","","","","","","","","","","","",""
"Coneto de Comonfort","","","","","","","","","","","","",""
"Cuencamé","","","","","","","","","","","","",""
"Durango","","","11.27","","","","","","13.83","","","",""
"General Simón Bolívar","","","","","","","","","","","","",""
"Gómez Palacio","","","14.91","","","","","","12.78","","","",""
"Guadalupe Victoria","","","12.48","","","","","","","","","",""
"Guanaceví","","","","","","","","","","","","",""
"Hidalgo","","","","","","","","","","","","",""
"Indé","","","","","","","","","","","","",""
"Lerdo","","","20.26","","","","","","13.18","","","",""
"Mapimí","","","","","","","","","","","","",""
"Mezquital","","","","","","","","","","","","",""
"Nazas","","","","","","","","","","","","",""
"Nombre de Dios","","","","","","","","","","","","",""
"Ocampo","","","","","","","","","","","","",""
"El Oro","","","","","","","","","","","","",""
"Otáez","","","","","","","","","","","","",""
"Pánuco de Coronado","","","","","","","","","","","","",""
"Peñón Blanco","","","","","","","","","","","","",""
"Poanas","","","","","","","","","","","","",""
"Pueblo Nuevo","","","35.4","","","","","","41.46","","","",""
"Rodeo","","","","","","","","","","","","",""
"San Bernardo","","","","","","","","","","","","",""
"San Dimas","","","","","","","","","","","","",""
"San Juan de Guadalupe","","","","","","","","","","","","",""
"San Juan del Río","","","","","","","","","","","","",""
"San Luis del Cordero","","","","","","","","","","","","",""
"San Pedro del Gallo","","","","","","","","","","","","",""
"Santa Clara","","","","","","","","","","","","",""
"Santiago Papasquiaro","","","13.79","","","","","","22.25","","","",""
"Súchil","","","","","","","","","","","","",""
"Tamazula","","","","","","","","","","","","",""
"Tepehuanes","","","","","","","","","","","","",""
"Tlahualilo","","","","","","","","","","","","",""
"Topia","","","","","","","","","","","","",""
"Vicente Guerrero","","","12.59","","","","","","","","","",""
"Nuevo Ideal","","","","","","","","","","","","",""
"Guanajuato","12.36","10.69","9.29","10.57","","","","","","","","",""
"Abasolo","","","39.68","","","","","","29.25","","","",""
"Acámbaro","","","14.15","","","","","","23.55","","","",""
"San Miguel de Allende","","","20.92","","","","","","28.69","","","",""
"Apaseo el Alto","","","21.34","","","","","","19.18","","","",""
"Apaseo el Grande","","","29.36","","","","","","29.99","","","",""
"Atarjea","","","","","","","","","","","","",""
"Celaya","","","15.64","","","","","","18.95","","","",""
"Manuel Doblado","","","","","","","","","","","","",""
"Comonfort","","","23.42","","","","","","51.98","","","",""
"Coroneo","","","","","","","","","","","","",""
"Cortazar","","","18.22","","","","","","25.24","","","",""
"Cuerámaro","","","","","","","","","","","","",""
