"","11.1.3.Proporción de la población urbana que habita en viviendas precarias","","","","","","","","","","","",""
"Ahualulco de Mercado","","","12.2","","","","","","","","","",""
"Amacueca","","","","","","","","","","","","",""
"Amatitán","","","","","","","","","","","","",""
"Ameca","","","20.13","","","","","","16.21","","","",""
"San Juanito de Escobedo","","","","","","","","","","","","",""
"Arandas","","","14.61","","","","","","14.46","","","",""
"El Arenal","","","","","","","","","","","","",""
"Atemajac de Brizuela","","","","","","","","","","","","",""
"Atengo","","","","","","","","","","","","",""
"Atenguillo","","","","","","","","","","","","",""
"Atotonilco el Alto","","","14.18","","","","","","33.96","","","",""
"Atoyac","","","","","","","","","","","","",""
"Autlán de Navarro","","","10.28","","","","","","15.77","","","",""
"Ayotlán","","","","","","","","","","","","",""
"Ayutla","","","","","","","","","","","","",""
"La Barca","","","14.44","","","","","","19.22","","","",""
"Bolaños","","","","","","","","","","","","",""
"Cabo Corrientes","","","","","","","","","","","","",""
"Casimiro Castillo","","","","","","","","","","","","",""
"Cihuatlán","","","42.7","","","","","","22.59","","","",""
"Zapotlán el Grande","","","8.83","","","","","","17.32","","","",""
"Cocula","","","","","","","","","","","","",""
"Colotlán","","","","","","","","","","","","",""
"Concepción de Buenos Aires","","","","","","","","","","","","",""
"Cuautitlán de García Barragán","","","","","","","","","","","","",""
"Cuautla","","","","","","","","","","","","",""
"Cuquío","","","","","","","","","","","","",""
"Chapala","","","21.19","","","","","","25.31","","","",""
"Chimaltitán","","","","","","","","","","","","",""
"Chiquilistlán","","","","","","","","","","","","",""
"Degollado","","","","","","","","","","","","",""
"Ejutla","","","","","","","","","","","","",""
"Encarnación de Díaz","","","6.02","","","","","","7.3","","","",""
"Etzatlán","","","","","","","","","","","","",""
"El Grullo","","","20.13","","","","","","25.41","","","",""
"Guachinango","","","","","","","","","","","","",""
"Guadalajara","","","10.2","","","","","","8.31","","","",""
"Hostotipaquillo","","","","","","","","","","","","",""
"Huejúcar","","","","","","","","","","","","",""
"Huejuquilla el Alto","","","","","","","","","","","","",""
"La Huerta","","","","","","","","","","","","",""
"Ixtlahuacán de los Membrillos","","","","","","","","","","","","",""
"Ixtlahuacán del Río","","","","","","","","","","","","",""
"Jalostotitlán","","","8.31","","","","","","13.31","","","",""
"Jamay","","","10.81","","","","","","9.42","","","",""
"Jesús María","","","","","","","","","","","","",""
"Jilotlán de los Dolores","","","","","","","","","","","","",""
"Jocotepec","","","23.93","","","","","","26.39","","","",""
"Juanacatlán","","","","","","","","","","","","",""
"Juchitlán","","","","","","","","","","","","",""
"Lagos de Moreno","","","17.69","","","","","","12.99","","","",""
"El Limón","","","","","","","","","","","","",""
"Magdalena","","","17.24","","","","","","","","","",""
"Santa María del Oro","","","","","","","","","","","","",""
"La Manzanilla de la Paz","","","","","","","","","","","","",""
"Mascota","","","","","","","","","","","","",""
"Mazamitla","","","","","","","","","","","","",""
"Mexticacán","","","","","","","","","","","","",""
"Mezquitic","","","","","","","","","","","","",""
"Mixtlán","","","","","","","","","","","","",""
"Ocotlán","","","26.99","","","","","","17.85","","","",""
"Ojuelos de Jalisco","","","","","","","","","","","","",""
"Pihuamo","","","","","","","","","","","","",""
"Poncitlán","","","","","","","","","","","","",""
"Puerto Vallarta","","","18.72","","","","","","25.62","","","",""
"Villa Purificación","","","","","","","","","","","","",""
"Quitupan","","","","","","","","","","","","",""
"El Salto","","","23.41","","","","","","35.65","","","",""
"San Cristóbal de la Barranca","","","","","","","","","","","","",""
"San Diego de Alejandría","","","","","","","","","","","","",""
"San Juan de los Lagos","","","15.98","","","","","","32.47","","","",""
"San Julián","","","","","","","","","","","","",""
"San Marcos","","","","","","","","","","","","",""
"San Martín de Bolaños","","","","","","","","","","","","",""
"San Martín Hidalgo","","","","","","","","","","","","",""
"San Miguel el Alto","","","8.61","","","","","","5.94","","","",""
"Gómez Farías","","","","","","","","","","","","",""
"San Sebastián del Oeste","","","","","","","","","","","","",""
"Santa María de los Ángeles","","","","","","","","","","","","",""
"Sayula","","","25.07","","","","","","20.44","","","",""
"Tala","","","21.28","","","","","","8.87","","","",""
"Talpa de Allende","","","","","","","","","","","","",""
"Tamazula de Gordiano","","","15.22","","","","","","11.74","","","",""
"Tapalpa","","","","","","","","","","","","",""
"Tecalitlán","","","","","","","","","","","","",""
"Tecolotlán","","","","","","","","","","","","",""
"Techaluta de Montenegro","","","","","","","","","","","","",""
"Tenamaxtlán","","","","","","","","","","","","",""
"Teocaltiche","","","11.85","","","","","","19.54","","","",""
"Teocuitatlán de Corona","","","","","","","","","","","","",""
"Tepatitlán de Morelos","","","8.06","","","","","","13.6","","","",""
"Tequila","","","13.06","","","","","","15.31","","","",""
"Teuchitlán","","","","","","","","","","","","",""
"Tizapán el Alto","","","","","","","","","","","","",""
"Tlajomulco de Zúñiga","","","14.35","","","","","","32.84","","","",""
"San Pedro Tlaquepaque","","","16.73","","","","","","25.07","","","",""
"Tolimán","","","","","","","","","","","","",""
"Tomatlán","","","","","","","","","","","","",""
"Tonalá","","","21.68","","","","","","33.05","","","",""
"Tonaya","","","","","","","","","","","","",""
"Tonila","","","","","","","","","","","","",""
"Totatiche","","","","","","","","","","","","",""
"Tototlán","","","","","","","","","","","","",""
"Tuxcacuesco","","","","","","","","","","","","",""
"Tuxcueca","","","","","","","","","","","","",""
"Tuxpan","","","20.03","","","","","","29.79","","","",""
"Unión de San Antonio","","","","","","","","","","","","",""
"Unión de Tula","","","","","","","","","","","","",""
"Valle de Guadalupe","","","","","","","","","","","","",""
"Valle de Juárez","","","","","","","","","","","","",""
"San Gabriel","","","","","","","","","","","","",""
"Villa Corona","","","","","","","","","","","","",""
"Villa Guerrero","","","","","","","","","","","","",""
"Villa Hidalgo","","","17.04","","","","","","","","","",""
"Cañadas de Obregón","","","","","","","","","","","","",""
"Yahualica de González Gallo","","","","","","","","","","","","",""
"Zacoalco de Torres","","","26.97","","","","","","32","","","",""
"Zapopan","","","13.72","","","","","","17.31","","","",""
"Zapotiltic","","","8.77","","","","","","23.47","","","",""
"Zapotitlán de Vadillo","","","","","","","","","","","","",""
"Zapotlán del Rey","","","","","","","","","","","","",""
"Zapotlanejo","","","14.6","","","","","","30.23","","","",""
"San Ignacio Cerro Gordo","","","","","","","","","","","","",""
"México","14.69","18.27","18.09","23.56","","","","","","","","",""
"Acambay de Ruíz Castañeda","","","","","","","","","","","","",""
"Acolman","","","36.09","","","","","","23.64","","","",""
"Aculco","","","","","","","","","","","","",""
"Almoloya de Alquisiras","","","","","","","","","","","","",""
"Almoloya de Juárez","","","1.49","","","","","","","","","",""
"Almoloya del Río","","","","","","","","","","","","",""
"Amanalco","","","","","","","","","","","","",""
"Amatepec","","","","","","","","","","","","",""
"Amecameca","","","38.52","","","","","","54.16","","","",""
"Apaxco","","","","","","","","","","","","",""
"Atenco","","","31.73","","","","","","","","","",""
"Atizapán","","","","","","","","","","","","",""
"Atizapán de Zaragoza","","","18.65","","","","","","22.16","","","",""
"Atlacomulco","","","13.48","","","","","","12.29","","","",""
"Atlautla","","","","","","","","","","","","",""
"Axapusco","","","","","","","","","","","","",""
"Ayapango","","","","","","","","","","","","",""
"Calimaya","","","","","","","","","","","","",""
"Capulhuac","","","17.67","","","","","","24.78","","","",""
"Coacalco de Berriozábal","","","10.24","","","","","","5.69","","","",""
"Coatepec Harinas","","","","","","","","","","","","",""
"Cocotitlán","","","","","","","","","","","","",""
"Coyotepec","","","29.49","","","","","","38.45","","","",""
"Cuautitlán","","","16.18","","","","","","17.75","","","",""
"Chalco","","","32.96","","","","","","44.3","","","",""
"Chapa de Mota","","","","","","","","","","","","",""
"Chapultepec","","","","","","","","","","","","",""
"Chiautla","","","","","","","","","","","","",""
"Chicoloapan","","","18.65","","","","","","33.15","","","",""
"Chiconcuac","","","30.4","","","","","","25.15","","","",""
"Chimalhuacán","","","44.62","","","","","","51.6","","","",""
"Donato Guerra","","","","","","","","","","","","",""
"Ecatepec de Morelos","","","22.63","","","","","","24.1","","","",""
"Ecatzingo","","","","","","","","","","","","",""
"Huehuetoca","","","3.31","","","","","","","","","",""
"Hueypoxtla","","","","","","","","","","","","",""
"Huixquilucan","","","27.24","","","","","","26.95","","","",""
"Isidro Fabela","","","","","","","","","","","","",""
"Ixtapaluca","","","27.86","","","","","","32.93","","","",""
"Ixtapan de la Sal","","","25.38","","","","","","29.34","","","",""
"Ixtapan del Oro","","","","","","","","","","","","",""
"Ixtlahuaca","","","","","","","","","","","","",""
"Xalatlaco","","","34.63","","","","","","","","","",""
"Jaltenco","","","29.67","","","","","","0","","","",""
"Jilotepec","","","","","","","","","","","","",""
"Jilotzingo","","","","","","","","","","","","",""
"Jiquipilco","","","","","","","","","","","","",""
"Jocotitlán","","","","","","","","","","","","",""
"Joquicingo","","","","","","","","","","","","",""
"Juchitepec","","","43.51","","","","","","","","","",""
"Lerma","","","10.25","","","","","","20.6","","","",""
"Malinalco","","","","","","","","","","","","",""
"Melchor Ocampo","","","15.71","","","","","","22","","","",""
"Metepec","","","10.56","","","","","","8.87","","","",""
"Mexicaltzingo","","","","","","","","","","","","",""
"Morelos","","","","","","","","","","","","",""
"Naucalpan de Juárez","","","31.1","","","","","","26.3","","","",""
"Nezahualcóyotl","","","22.82","","","","","","21.19","","","",""
"Nextlalpan","","","","","","","","","","","","",""
"Nicolás Romero","","","25.45","","","","","","30.41","","","",""
"Nopaltepec","","","","","","","","","","","","",""
"Ocoyoacac","","","16.98","","","","","","25.39","","","",""
"Ocuilan","","","","","","","","","","","","",""
"El Oro","","","","","","","","","","","","",""
"Otumba","","","","","","","","","","","","",""
"Otzoloapan","","","","","","","","","","","","",""
"Otzolotepec","","","","","","","","","48.68","","","",""
"Ozumba","","","39.35","","","","","","62.55","","","",""
"Papalotla","","","","","","","","","","","","",""
"La Paz","","","35.88","","","","","","39.32","","","",""
"Polotitlán","","","","","","","","","","","","",""
"Rayón","","","","","","","","","","","","",""
"San Antonio la Isla","","","","","","","","","","","","",""
"San Felipe del Progreso","","","","","","","","","","","","",""
"San Martín de las Pirámides","","","","","","","","","","","","",""
"San Mateo Atenco","","","39.26","","","","","","50.21","","","",""
"San Simón de Guerrero","","","","","","","","","","","","",""
"Santo Tomás","","","","","","","","","","","","",""
"Soyaniquilpan de Juárez","","","","","","","","","","","","",""
"Sultepec","","","","","","","","","","","","",""
"Tecámac","","","23.56","","","","","","23.41","","","",""
"Tejupilco","","","20.74","","","","","","30.05","","","",""
"Temamatla","","","","","","","","","","","","",""
"Temascalapa","","","","","","","","","","","","",""
"Temascalcingo","","","","","","","","","","","","",""
"Temascaltepec","","","","","","","","","","","","",""
"Temoaya","","","","","","","","","","","","",""
"Tenancingo","","","","","","","","","27.03","","","",""
"Tenango del Aire","","","","","","","","","","","","",""
"Tenango del Valle","","","20.95","","","","","","24.72","","","",""
"Teoloyucan","","","26.45","","","","","","38.54","","","",""
"Teotihuacán","","","26.8","","","","","","35.04","","","",""
"Tepetlaoxtoc","","","","","","","","","","","","",""
"Tepetlixpa","","","","","","","","","","","","",""
"Tepotzotlán","","","13.94","","","","","","30.1","","","",""
"Tequixquiac","","","21.09","","","","","","31.46","","","",""
"Texcaltitlán","","","","","","","","","","","","",""
"Texcalyacac","","","","","","","","","","","","",""
"Texcoco","","","23.68","","","","","","23.47","","","",""
"Tezoyuca","","","28.58","","","","","","","","","",""
"Tianguistenco","","","","","","","","","35.34","","","",""
"Timilpan","","","","","","","","","","","","",""
"Tlalmanalco","","","47.31","","","","","","56.18","","","",""
"Tlalnepantla de Baz","","","23.87","","","","","","19.4","","","",""
"Tlatlaya","","","","","","","","","","","","",""
"Toluca","","","19.05","","","","","","21.15","","","",""
"Tonatico","","","","","","","","","","","","",""
"Tultepec","","","21.07","","","","","","18.52","","","",""
"Tultitlán","","","18.3","","","","","","15.25","","","",""
"Valle de Bravo","","","39.08","","","","","","39.49","","","",""
"Villa de Allende","","","","","","","","","","","","",""
"Villa del Carbón","","","","","","","","","","","","",""
"Villa Guerrero","","","","","","","","","","","","",""
"Villa Victoria","","","","","","","","","","","","",""
"Xonacatlán","","","24.91","","","","","","33.29","","","",""
"Zacazonapan","","","","","","","","","","","","",""
"Zacualpan","","","","","","","","","","","","",""
"Zinacantepec","","","37.08","","","","","","24.91","","","",""
"Zumpahuacán","","","","","","","","","","","","",""
"Zumpango","","","22.28","","","","","","34.57","","","",""
"Cuautitlán Izcalli","","","18.99","","","","","","11.6","","","",""
"Valle de Chalco Solidaridad","","","42.25","","","","","","44.19","","","",""
"Luvianos","","","","","","","","","","","","",""
"San José del Rincón","","","","","","","","","","","","",""
"Tonanitla","","","","","","","","","","","","",""
"Michoacán de Ocampo","21.11","21.55","18.72","18.19","","","","","","","","",""
"Acuitzio","","","","","","","","","","","","",""
"Aguililla","","","","","","","","","","","","",""
"Álvaro Obregón","","","","","","","","","","","","",""
"Angamacutiro","","","","","","","","","","","","",""
"Angangueo","","","","","","","","","","","","",""
"Apatzingán","","","30.89","","","","","","50.42","","","",""
"Aporo","","","","","","","","","","","","",""
"Aquila","","","","","","","","","","","","",""
"Ario","","","40.74","","","","","","","","","",""
"Arteaga","","","","","","","","","","","","",""
"Briseñas","","","","","","","","","","","","",""
"Buenavista","","","","","","","","","","","","",""
"Carácuaro","","","","","","","","","","","","",""
"Coahuayana","","","","","","","","","","","","",""
"Coalcomán de Vázquez Pallares","","","","","","","","","","","","",""
"Coeneo","","","","","","","","","","","","",""
"Contepec","","","","","","","","","","","","",""
"Copándaro","","","","","","","","","","","","",""
"Cotija","","","","","","","","","","","","",""
"Cuitzeo","","","","","","","","","","","","",""
"Charapan","","","","","","","","","","","","",""
"Charo","","","","","","","","","","","","",""
"Chavinda","","","","","","","","","","","","",""
"Cherán","","","","","","","","","","","","",""
"Chilchota","","","","","","","","","","","","",""
"Chinicuila","","","","","","","","","","","","",""
"Chucándiro","","","","","","","","","","","","",""
"Churintzio","","","","","","","","","","","","",""
"Churumuco","","","","","","","","","","","","",""
"Ecuandureo","","","","","","","","","","","","",""
"Epitacio Huerta","","","","","","","","","","","","",""
"Erongarícuaro","","","","","","","","","","","","",""
"Gabriel Zamora","","","","","","","","","","","","",""
"Hidalgo","","","22.92","","","","","","31.53","","","",""
"La Huacana","","","","","","","","","","","","",""
"Huandacareo","","","","","","","","","","","","",""
"Huaniqueo","","","","","","","","","","","","",""
"Huetamo","","","59.33","","","","","","57.58","","","",""
"Huiramba","","","","","","","","","","","","",""
"Indaparapeo","","","","","","","","","","","","",""
"Irimbo","","","","","","","","","","","","",""
"Ixtlán","","","","","","","","","","","","",""
"Jacona","","","16.92","","","","","","28.79","","","",""
"Jiménez","","","","","","","","","","","","",""
"Jiquilpan","","","15.95","","","","","","13.69","","","",""
"Juárez","","","","","","","","","","","","",""
"Jungapeo","","","","","","","","","","","","",""
"Lagunillas","","","","","","","","","","","","",""
"Madero","","","","","","","","","","","","",""
"Maravatío","","","23.27","","","","","","26.68","","","",""
"Marcos Castellanos","","","","","","","","","","","","",""
"Lázaro Cárdenas","","","22.62","","","","","","37.58","","","",""
"Morelia","","","15.76","","","","","","18.34","","","",""
"Morelos","","","","","","","","","","","","",""
"Múgica","","","53.9","","","","","","63.79","","","",""
"Nahuatzen","","","","","","","","","","","","",""
"Nocupétaro","","","","","","","","","","","","",""
"Nuevo Parangaricutiro","","","","","","","","","","","","",""
"Nuevo Urecho","","","","","","","","","","","","",""
"Numarán","","","","","","","","","","","","",""
"Ocampo","","","","","","","","","","","","",""
"Pajacuarán","","","","","","","","","","","","",""
"Panindícuaro","","","","","","","","","","","","",""
"Parácuaro","","","","","","","","","","","","",""
"Paracho","","","49.32","","","","","","55.06","","","",""
"Pátzcuaro","","","25.32","","","","","","33.08","","","",""
"Penjamillo","","","","","","","","","","","","",""
"Peribán","","","31.15","","","","","","","","","",""
"La Piedad","","","11.3","","","","","","12.46","","","",""
"Purépero","","","","","","","","","","","","",""
"Puruándiro","","","9.99","","","","","","26.14","","","",""
"Queréndaro","","","","","","","","","","","","",""
"Quiroga","","","","","","","","","","","","",""
"Cojumatlán de Régules","","","","","","","","","","","","",""
"Los Reyes","","","25.43","","","","","","35.21","","","",""
"Sahuayo","","","21.69","","","","","","19.41","","","",""
"San Lucas","","","","","","","","","","","","",""
"Santa Ana Maya","","","","","","","","","","","","",""
"Salvador Escalante","","","","","","","","","","","","",""
"Senguio","","","","","","","","","","","","",""
"Susupuato","","","","","","","","","","","","",""
"Tacámbaro","","","34.72","","","","","","53.92","","","",""
"Tancítaro","","","","","","","","","","","","",""
"Tangamandapio","","","","","","","","","","","","",""
"Tangancícuaro","","","18.73","","","","","","","","","",""
"Tanhuato","","","","","","","","","","","","",""
"Taretan","","","","","","","","","","","","",""
"Tarímbaro","","","","","","","","","","","","",""
"Tepalcatepec","","","47.07","","","","","","","","","",""
"Tingambato","","","","","","","","","","","","",""
"Tingüindín","","","","","","","","","","","","",""
"Tiquicheo de Nicolás Romero","","","","","","","","","","","","",""
"Tlalpujahua","","","","","","","","","","","","",""
"Tlazazalca","","","","","","","","","","","","",""
"Tocumbo","","","","","","","","","","","","",""
"Tumbiscatío","","","","","","","","","","","","",""
"Turicato","","","","","","","","","","","","",""
"Tuxpan","","","","","","","","","","","","",""
"Tuzantla","","","","","","","","","","","","",""
"Tzintzuntzan","","","","","","","","","","","","",""
"Tzitzio","","","","","","","","","","","","",""
"Uruapan","","","29.49","","","","","","43.65","","","",""
"Venustiano Carranza","","","","","","","","","","","","",""
"Villamar","","","","","","","","","","","","",""
"Vista Hermosa","","","","","","","","","","","","",""
"Yurécuaro","","","20.82","","","","","","21.72","","","",""
"Zacapu","","","19.6","","","","","","19.88","","","",""
"Zamora","","","27.2","","","","","","21.69","","","",""
"Zináparo","","","","","","","","","","","","",""
"Zinapécuaro","","","26.09","","","","","","","","","",""
"Ziracuaretiro","","","","","","","","","","","","",""
"Zitácuaro","","","22.91","","","","","","34.48","","","",""
"José Sixto Verduzco","","","","","","","","","","","","",""
"Morelos","19.13","19.66","20.69","20.55","","","","","","","","",""
"Amacuzac","","","","","","","","","","","","",""
"Atlatlahucan","","","","","","","","","","","","",""
"Axochiapan","","","40.63","","","","","","63.51","","","",""
"Ayala","","","","","","","","","50.07","","","",""
"Coatlán del Río","","","","","","","","","","","","",""
"Cuautla","","","24.07","","","","","","29.94","","","",""
"Cuernavaca","","","17.67","","","","","","23.74","","","",""
"Emiliano Zapata","","","23.9","","","","","","52.68","","","",""
"Huitzilac","","","","","","","","","","","","",""
"Jantetelco","","","","","","","","","","","","",""
"Jiutepec","","","11.68","","","","","","22.75","","","",""
"Jojutla","","","19.9","","","","","","11.51","","","",""
"Jonacatepec","","","","","","","","","","","","",""
"Mazatepec","","","","","","","","","","","","",""
"Miacatlán","","","","","","","","","","","","",""
"Ocuituco","","","","","","","","","","","","",""
"Puente de Ixtla","","","46.38","","","","","","52.07","","","",""
"Temixco","","","33.33","","","","","","32.95","","","",""
"Tepalcingo","","","","","","","","","","","","",""
"Tepoztlán","","","","","","","","","","","","",""
"Tetecala","","","","","","","","","","","","",""
"Tetela del Volcán","","","","","","","","","","","","",""
"Tlalnepantla","","","","","","","","","","","","",""
"Tlaltizapán de Zapata","","","24.51","","","","","","44.65","","","",""
"Tlaquiltenango","","","40.86","","","","","","41.2","","","",""
"Tlayacapan","","","","","","","","","","","","",""
"Totolapan","","","","","","","","","","","","",""
"Xochitepec","","","26.07","","","","","","55.41","","","",""
"Yautepec","","","27.26","","","","","","33.45","","","",""
"Yecapixtla","","","61.55","","","","","","","","","",""
"Zacatepec","","","23.2","","","","","","37.21","","","",""
"Zacualpan de Amilpas","","","","","","","","","","","","",""
"Temoac","","","","","","","","","","","","",""
"Nayarit","4.93","8.09","10.53","11.15","","","","","","","","",""
"Acaponeta","","","14.24","","","","","","8.97","","","",""
"Ahuacatlán","","","","","","","","","","","","",""
"Amatlán de Cañas","","","","","","","","","","","","",""
"Compostela","","","3.72","","","","","","9.3","","","",""
"Huajicori","","","","","","","","","","","","",""
"Ixtlán del Río","","","12.49","","","","","","19.69","","","",""
"Jala","","","","","","","","","","","","",""
"Xalisco","","","10.59","","","","","","15.85","","","",""
"Del Nayar","","","","","","","","","","","","",""
"Rosamorada","","","","","","","","","","","","",""
"Ruíz","","","","","","","","","","","","",""
"San Blas","","","","","","","","","","","","",""
"San Pedro Lagunillas","","","","","","","","","","","","",""
"Santa María del Oro","","","","","","","","","","","","",""
"Santiago Ixcuintla","","","20.47","","","","","","24.72","","","",""
"Tecuala","","","","","","","","","","","","",""
"Tepic","","","14.64","","","","","","11.23","","","",""
"Tuxpan","","","34.83","","","","","","42.55","","","",""
"La Yesca","","","","","","","","","","","","",""
"Bahía de Banderas","","","17.18","","","","","","","","","",""
"Nuevo León","7.97","9","7.89","12","","","","","","","","",""
"Abasolo","","","","","","","","","","","","",""
"Agualeguas","","","","","","","","","","","","",""
"Los Aldamas","","","","","","","","","","","","",""
"Allende","","","17.1","","","","","","23.2","","","",""
"Anáhuac","","","19.93","","","","","","35.14","","","",""
"Apodaca","","","14.41","","","","","","10.02","","","",""
"Aramberri","","","","","","","","","","","","",""
"Bustamante","","","","","","","","","","","","",""
"Cadereyta Jiménez","","","16.24","","","","","","24.02","","","",""
"El Carmen","","","","","","","","","","","","",""
"Cerralvo","","","","","","","","","","","","",""
"Ciénega de Flores","","","11.21","","","","","","","","","",""
"China","","","","","","","","","","","","",""
"Doctor Arroyo","","","","","","","","","","","","",""
"Doctor Coss","","","","","","","","","","","","",""
"Doctor González","","","","","","","","","","","","",""
"Galeana","","","","","","","","","","","","",""
"García","","","13.66","","","","","","48.16","","","",""
"San Pedro Garza García","","","12.93","","","","","","5.25","","","",""
"General Bravo","","","","","","","","","","","","",""
"General Escobedo","","","13.04","","","","","","26.46","","","",""
"General Terán","","","","","","","","","","","","",""
"General Treviño","","","","","","","","","","","","",""
"General Zaragoza","","","","","","","","","","","","",""
"General Zuazua","","","4.97","","","","","","","","","",""
"Guadalupe","","","11.36","","","","","","10.12","","","",""
"Los Herreras","","","","","","","","","","","","",""
"Higueras","","","","","","","","","","","","",""
"Hualahuises","","","","","","","","","","","","",""
"Iturbide","","","","","","","","","","","","",""
"Juárez","","","8.9","","","","","","","","","",""
"Lampazos de Naranjo","","","","","","","","","","","","",""
"Linares","","","20.68","","","","","","26.06","","","",""
"Marín","","","","","","","","","","","","",""
"Melchor Ocampo","","","","","","","","","","","","",""
"Mier y Noriega","","","","","","","","","","","","",""
"Mina","","","","","","","","","","","","",""
"Montemorelos","","","16.14","","","","","","34.46","","","",""
"Monterrey","","","17.24","","","","","","11.12","","","",""
"Parás","","","","","","","","","","","","",""
"Pesquería","","","","","","","","","","","","",""
"Los Ramones","","","","","","","","","","","","",""
"Rayones","","","","","","","","","","","","",""
"Sabinas Hidalgo","","","16.12","","","","","","15.62","","","",""
"Salinas Victoria","","","","","","","","","","","","",""
"San Nicolás de los Garza","","","6.36","","","","","","4.2","","","",""
"Hidalgo","","","14.53","","","","","","","","","",""
"Santa Catarina","","","14.89","","","","","","8.34","","","",""
"Santiago","","","15.99","","","","","","20.28","","","",""
"Vallecillo","","","","","","","","","","","","",""
"Villaldama","","","","","","","","","","","","",""
"Oaxaca","25.45","28.96","34.73","34.12","","","","","","","","",""
"Abejones","","","","","","","","","","","","",""
"Acatlán de Pérez Figueroa","","","","","","","","","","","","",""
"Asunción Cacalotepec","","","","","","","","","","","","",""
"Asunción Cuyotepeji","","","","","","","","","","","","",""
"Asunción Ixtaltepec","","","","","","","","","","","","",""
"Asunción Nochixtlán","","","","","","","","","","","","",""
"Asunción Ocotlán","","","","","","","","","","","","",""
"Asunción Tlacolulita","","","","","","","","","","","","",""
"Ayotzintepec","","","","","","","","","","","","",""
"El Barrio de la Soledad","","","","","","","","","","","","",""
"Calihualá","","","","","","","","","","","","",""
"Candelaria Loxicha","","","","","","","","","","","","",""
"Ciénega de Zimatlán","","","","","","","","","","","","",""
"Ciudad Ixtepec","","","25.56","","","","","","24.93","","","",""
"Coatecas Altas","","","","","","","","","","","","",""
"Coicoyán de las Flores","","","","","","","","","","","","",""
"La Compañía","","","","","","","","","","","","",""
"Concepción Buenavista","","","","","","","","","","","","",""
"Concepción Pápalo","","","","","","","","","","","","",""
"Constancia del Rosario","","","","","","","","","","","","",""
"Cosolapa","","","","","","","","","","","","",""
"Cosoltepec","","","","","","","","","","","","",""
"Cuilápam de Guerrero","","","","","","","","","","","","",""
"Cuyamecalco Villa de Zaragoza","","","","","","","","","","","","",""
"Chahuites","","","","","","","","","","","","",""
"Chalcatongo de Hidalgo","","","","","","","","","","","","",""
"Chiquihuitlán de Benito Juárez","","","","","","","","","","","","",""
"Heroica Ciudad de Ejutla de Crespo","","","","","","","","","","","","",""
"Eloxochitlán de Flores Magón","","","","","","","","","","","","",""
"El Espinal","","","","","","","","","","","","",""
"Tamazulápam del Espíritu Santo","","","","","","","","","","","","",""
"Fresnillo de Trujano","","","","","","","","","","","","",""
"Guadalupe Etla","","","","","","","","","","","","",""
"Guadalupe de Ramírez","","","","","","","","","","","","",""
"Guelatao de Juárez","","","","","","","","","","","","",""
"Guevea de Humboldt","","","","","","","","","","","","",""
"Mesones Hidalgo","","","","","","","","","","","","",""
"Villa Hidalgo","","","","","","","","","","","","",""
"Heroica Ciudad de Huajuapan de León","","","24.46","","","","","","27.54","","","",""
"Huautepec","","","","","","","","","","","","",""
"Huautla de Jiménez","","","","","","","","","","","","",""
"Ixtlán de Juárez","","","","","","","","","","","","",""
"Heroica Ciudad de Juchitán de Zaragoza","","","30.6","","","","","","38.41","","","",""
"Loma Bonita","","","26.7","","","","","","33.61","","","",""
"Magdalena Apasco","","","","","","","","","","","","",""
"Magdalena Jaltepec","","","","","","","","","","","","",""
"Santa Magdalena Jicotlán","","","","","","","","","","","","",""
"Magdalena Mixtepec","","","","","","","","","","","","",""
"Magdalena Ocotlán","","","","","","","","","","","","",""
"Magdalena Peñasco","","","","","","","","","","","","",""
"Magdalena Teitipac","","","","","","","","","","","","",""
"Magdalena Tequisistlán","","","","","","","","","","","","",""
"Magdalena Tlacotepec","","","","","","","","","","","","",""
"Magdalena Zahuatlán","","","","","","","","","","","","",""
"Mariscala de Juárez","","","","","","","","","","","","",""
"Mártires de Tacubaya","","","","","","","","","","","","",""
"Matías Romero Avendaño","","","45.5","","","","","","46.61","","","",""
"Mazatlán Villa de Flores","","","","","","","","","","","","",""
"Miahuatlán de Porfirio Díaz","","","65.4","","","","","","66.53","","","",""
"Mixistlán de la Reforma","","","","","","","","","","","","",""
"Monjas","","","","","","","","","","","","",""
"Natividad","","","","","","","","","","","","",""
"Nazareno Etla","","","","","","","","","","","","",""
"Nejapa de Madero","","","","","","","","","","","","",""
"Ixpantepec Nieves","","","","","","","","","","","","",""
"Santiago Niltepec","","","","","","","","","","","","",""
"Oaxaca de Juárez","","","31.47","","","","","","32.91","","","",""
"Ocotlán de Morelos","","","56.68","","","","","","","","","",""
"La Pe","","","","","","","","","","","","",""
"Pinotepa de Don Luis","","","","","","","","","","","","",""
"Pluma Hidalgo","","","","","","","","","","","","",""
"San José del Progreso","","","","","","","","","","","","",""
"Putla Villa de Guerrero","","","","","","","","","","","","",""
"Santa Catarina Quioquitani","","","","","","","","","","","","",""
"Reforma de Pineda","","","","","","","","","","","","",""
"La Reforma","","","","","","","","","","","","",""
"Reyes Etla","","","","","","","","","","","","",""
"Rojas de Cuauhtémoc","","","","","","","","","","","","",""
"Salina Cruz","","","20.87","","","","","","28.13","","","",""
"San Agustín Amatengo","","","","","","","","","","","","",""
"San Agustín Atenango","","","","","","","","","","","","",""
"San Agustín Chayuco","","","","","","","","","","","","",""
"San Agustín de las Juntas","","","","","","","","","","","","",""
