"","2.1.2.Proporción de la población con inseguridad alimentaria moderada o severa (carencia por acceso a la alimentación)","",""
"Chihuahua","18.7","18.4","17.7"
"Ahumada","","","16.5"
"Aldama","","","16.2"
"Allende","","","10.1"
"Aquiles Serdán","","","12.9"
"Ascensión","","","34.5"
"Bachíniva","","","10.3"
"Balleza","","","40.6"
"Batopilas","","","29.3"
"Bocoyna","","","33.4"
"Buenaventura","","","20.6"
"Camargo","","","15.5"
"Carichí","","","39.5"
"Casas Grandes","","","17.4"
"Coronado","","","14.4"
"Coyame del Sotol","","","19.4"
"La Cruz","","","20.2"
"Cuauhtémoc","","","15.7"
"Cusihuiriachi","","","13.7"
"Chihuahua","","","12.2"
"Chínipas","","","30"
"Delicias","","","13.2"
"Dr. Belisario Domínguez","","","4.5"
"Galeana","","","32.8"
"Santa Isabel","","","8.7"
"Gómez Farías","","","10"
"Gran Morelos","","","6.8"
"Guachochi","","","60.7"
"Guadalupe","","","18.7"
"Guadalupe y Calvo","","","36.3"
"Guazapares","","","24"
"Guerrero","","","20.4"
"Hidalgo del Parral","","","16.4"
"Huejotitán","","","16.2"
"Ignacio Zaragoza","","","8.1"
"Janos","","","26.5"
"Jiménez","","","17.3"
"Juárez","","","18.8"
"Julimes","","","19.3"
"López","","","16.1"
"Madera","","","23.6"
"Maguarichi","","","27.6"
"Manuel Benavides","","","31.5"
"Matachí","","","17.7"
"Matamoros","","","8.3"
"Meoqui","","","12.8"
"Morelos","","","31.4"
"Moris","","","14.8"
"Namiquipa","","","15.3"
"Nonoava","","","16.8"
"Nuevo Casas Grandes","","","16.6"
"Ocampo","","","22.5"
"Ojinaga","","","16.8"
"Praxedis G. Guerrero","","","14.5"
"Riva Palacio","","","18.4"
"Rosales","","","13.9"
"Rosario","","","10.4"
"San Francisco de Borja","","","5.7"
"San Francisco de Conchos","","","17.1"
"San Francisco del Oro","","","11"
"Santa Bárbara","","","14.6"
"Satevó","","","12.3"
"Saucillo","","","14.6"
"Temósachic","","","29"
"El Tule","","","11.2"
"Urique","","","28.8"
"Uruachi","","","28"
"Valle de Zaragoza","","","11.8"
"Ciudad de México","11.7","13","15.5"
"Azcapotzalco","","","12.9"
"Coyoacán","","","11.8"
"Cuajimalpa de Morelos","","","18.2"
"Gustavo A. Madero","","","15.3"
"Iztacalco","","","13.9"
"Iztapalapa","","","19.5"
"La Magdalena Contreras","","","16.5"
"Milpa Alta","","","19.2"
"Álvaro Obregón","","","15.6"
"Tláhuac","","","18.4"
"Tlalpan","","","15.6"
"Xochimilco","","","19.7"
"Benito Juárez","","","6.5"
"Cuauhtémoc","","","11.7"
"Miguel Hidalgo","","","9.3"
"Venustiano Carranza","","","14.3"
"Durango","19.9","21.4","20.3"
"Canatlán","","","18.1"
"Canelas","","","22.9"
"Coneto de Comonfort","","","43.1"
"Cuencamé","","","25.8"
"Durango","","","17.5"
"General Simón Bolívar","","","23.7"
"Gómez Palacio","","","18.1"
"Guadalupe Victoria","","","24.8"
"Guanaceví","","","24.8"
"Hidalgo","","","18.2"
"Indé","","","14.5"
"Lerdo","","","20.9"
"Mapimí","","","31.3"
"Mezquital","","","39.3"
"Nazas","","","22"
"Nombre de Dios","","","20.2"
"Ocampo","","","19.7"
"El Oro","","","8.2"
"Otáez","","","22.8"
"Pánuco de Coronado","","","23.2"
"Peñón Blanco","","","24.1"
"Poanas","","","21.8"
"Pueblo Nuevo","","","24.1"
"Rodeo","","","20.9"
"San Bernardo","","","40.5"
"San Dimas","","","21.7"
"San Juan de Guadalupe","","","27.8"
"San Juan del Río","","","19.2"
"San Luis del Cordero","","","18.3"
"San Pedro del Gallo","","","20"
"Santa Clara","","","12.5"
"Santiago Papasquiaro","","","25.2"
"Súchil","","","20.4"
"Tamazula","","","26.9"
"Tepehuanes","","","25.8"
"Tlahualilo","","","17.5"
"Topia","","","18.4"
"Vicente Guerrero","","","13.7"
"Nuevo Ideal","","","19.6"
"Guanajuato","22.9","28.5","23.7"
"Abasolo","","","31.3"
"Acámbaro","","","18.6"
"San Miguel de Allende","","","34"
"Apaseo el Alto","","","24.8"
"Apaseo el Grande","","","26.6"
"Atarjea","","","28.8"
"Celaya","","","21.2"
"Manuel Doblado","","","32.8"
"Comonfort","","","29.9"
"Coroneo","","","26"
"Cortazar","","","24.3"
"Cuerámaro","","","26.4"
"Doctor Mora","","","23.1"
"Dolores Hidalgo Cuna de la Independencia Nacional","","","32.7"
"Guanajuato","","","22.2"
"Huanímaro","","","27.8"
"Irapuato","","","24.5"
"Jaral del Progreso","","","21.1"
"Jerécuaro","","","29.3"
"León","","","19.9"
"Moroleón","","","18.8"
"Ocampo","","","27.5"
"Pénjamo","","","34.8"
"Pueblo Nuevo","","","23.2"
"Purísima del Rincón","","","20.4"
"Romita","","","27.6"
"Salamanca","","","22.6"
"Salvatierra","","","20"
"San Diego de la Unión","","","26.7"
"San Felipe","","","33.6"
"San Francisco del Rincón","","","19"
"San José Iturbide","","","24"
"San Luis de la Paz","","","34.7"
"Santa Catarina","","","24.8"
"Santa Cruz de Juventino Rosas","","","33.3"
"Santiago Maravatío","","","21.5"
"Silao de la Victoria","","","27"
"Tarandacuao","","","17.1"
"Tarimoro","","","20.2"
"Tierra Blanca","","","37.6"
"Uriangato","","","18.9"
"Valle de Santiago","","","24.8"
"Victoria","","","29.6"
"Villagrán","","","22.6"
"Xichú","","","26"
"Yuriria","","","20.8"
"Guerrero","38.5","39.4","42.7"
"Acapulco de Juárez","","","40.9"
"Ahuacuotzingo","","","49.3"
"Ajuchitlán del Progreso","","","56"
"Alcozauca de Guerrero","","","59.7"
"Alpoyeca","","","40.3"
"Apaxtla","","","36.7"
"Arcelia","","","32.5"
"Atenango del Río","","","44.4"
"Atlamajalcingo del Monte","","","56.4"
"Atlixtac","","","59.3"
"Atoyac de Álvarez","","","42.1"
"Ayutla de los Libres","","","52.6"
"Azoyú","","","54"
"Benito Juárez","","","40.1"
"Buenavista de Cuéllar","","","37.6"
"Coahuayutla de José María Izazaga","","","55.9"
"Cocula","","","29.9"
"Copala","","","52"
"Copalillo","","","58.8"
"Copanatoyac","","","55.6"
"Coyuca de Benítez","","","44.1"
"Coyuca de Catalán","","","43.8"
"Cuajinicuilapa","","","54.3"
"Cualác","","","46.5"
"Cuautepec","","","62.4"
"Cuetzala del Progreso","","","47.1"
"Cutzamala de Pinzón","","","39"
"Chilapa de Álvarez","","","41.7"
"Chilpancingo de los Bravo","","","28.9"
"Florencio Villarreal","","","52.2"
"General Canuto A. Neri","","","44.2"
"General Heliodoro Castillo","","","44.4"
"Huamuxtitlán","","","35"
"Huitzuco de los Figueroa","","","38.9"
"Iguala de la Independencia","","","23.9"
"Igualapa","","","57.7"
"Ixcateopan de Cuauhtémoc","","","32.1"
"Zihuatanejo de Azueta","","","35.3"
"Juan R. Escudero","","","49.4"
"Leonardo Bravo","","","47.5"
"Malinaltepec","","","56.7"
"Mártir de Cuilapan","","","47.3"
"Metlatónoc","","","58.7"
"Mochitlán","","","44.6"
"Olinalá","","","52"
"Ometepec","","","52.5"
"Pedro Ascencio Alquisiras","","","39.6"
"Petatlán","","","37.8"
"Pilcaya","","","38.6"
"Pungarabato","","","30.9"
"Quechultenango","","","53.6"
"San Luis Acatlán","","","59.8"
"San Marcos","","","53.8"
"San Miguel Totolapan","","","62.2"
"Taxco de Alarcón","","","31.2"
"Tecoanapa","","","54.8"
"Técpan de Galeana","","","39.6"
"Teloloapan","","","36.8"
"Tepecoacuilco de Trujano","","","39.1"
"Tetipac","","","45.4"
"Tixtla de Guerrero","","","38.8"
"Tlacoachistlahuaca","","","61.1"
"Tlacoapa","","","57.7"
"Tlalchapa","","","37.2"
"Tlalixtaquilla de Maldonado","","","45.7"
"Tlapa de Comonfort","","","44.9"
"Tlapehuala","","","46.3"
"La Unión de Isidoro Montes de Oca","","","39.4"
"Xalpatláhuac","","","54.9"
"Xochihuehuetlán","","","43.1"
"Xochistlahuaca","","","63.6"
"Zapotitlán Tablas","","","54.6"
"Zirándaro","","","45.2"
"Zitlala","","","42"
"Eduardo Neri","","","36.8"
"Acatepec","","","62"
"Marquelia","","","49.9"
"Cochoapa el Grande","","","64.6"
"José Joaquín de Herrera","","","62.2"
"Juchitán","","","54.8"
"Iliatenco","","","61"
"Hidalgo","31.7","25","29"
"Acatlán","","","32.5"
"Acaxochitlán","","","29.2"
"Actopan","","","25.9"
"Agua Blanca de Iturbide","","","24.5"
"Ajacuba","","","18.4"
"Alfajayucan","","","29.8"
"Almoloya","","","33.6"
"Apan","","","31"
"El Arenal","","","39.9"
"Atitalaquia","","","25.9"
"Atlapexco","","","38.3"
"Atotonilco el Grande","","","33.9"
"Atotonilco de Tula","","","26.5"
"Calnali","","","33.9"
"Cardonal","","","19"
"Cuautepec de Hinojosa","","","28.8"
"Chapantongo","","","30.3"
"Chapulhuacán","","","34"
"Chilcuautla","","","29.9"
"Eloxochitlán","","","24.2"
"Emiliano Zapata","","","19.7"
"Epazoyucan","","","25.3"
"Francisco I. Madero","","","26.3"
"Huasca de Ocampo","","","28.1"
"Huautla","","","48.3"
"Huazalingo","","","39.6"
"Huehuetla","","","55.1"
"Huejutla de Reyes","","","42.7"
"Huichapan","","","25.4"
"Ixmiquilpan","","","36.8"
"Jacala de Ledezma","","","26.3"
"Jaltocán","","","33.2"
"Juárez Hidalgo","","","26.1"
"Lolotla","","","35"
"Metepec","","","30.6"
"San Agustín Metzquititlán","","","18.2"
"Metztitlán","","","19.7"
"Mineral del Chico","","","28.1"
"Mineral del Monte","","","27.9"
"La Misión","","","28.7"
"Mixquiahuala de Juárez","","","28.9"
"Molango de Escamilla","","","33.2"
"Nicolás Flores","","","39.9"
"Nopala de Villagrán","","","27.6"
"Omitlán de Juárez","","","29.2"
"San Felipe Orizatlán","","","38.6"
"Pacula","","","35.5"
"Pachuca de Soto","","","21.3"
"Pisaflores","","","41"
"Progreso de Obregón","","","18.1"
"Mineral de la Reforma","","","18.8"
"San Agustín Tlaxiaca","","","34"
"San Bartolo Tutotepec","","","50"
"San Salvador","","","28.1"
"Santiago de Anaya","","","32.5"
"Santiago Tulantepec de Lugo Guerrero","","","26.6"
"Singuilucan","","","33.3"
"Tasquillo","","","29.1"
"Tecozautla","","","21"
"Tenango de Doria","","","28.4"
"Tepeapulco","","","20.8"
"Tepehuacán de Guerrero","","","45.1"
"Tepeji del Río de Ocampo","","","28.7"
"Tepetitlán","","","39.2"
"Tetepango","","","19.1"
"Villa de Tezontepec","","","24.5"
"Tezontepec de Aldama","","","38.6"
"Tianguistengo","","","35.9"
"Tizayuca","","","29.7"
"Tlahuelilpan","","","34.2"
"Tlahuiltepa","","","27.9"
"Tlanalapa","","","21.1"
"Tlanchinol","","","37"
"Tlaxcoapan","","","28.4"
"Tolcayuca","","","26.3"
"Tula de Allende","","","23.9"
"Tulancingo de Bravo","","","26.4"
"Xochiatipan","","","58.3"
"Xochicoatlán","","","34.5"
"Yahualica","","","47.8"
"Zacualtipán de Ángeles","","","22.2"
"Zapotlán de Juárez","","","22.7"
"Zempoala","","","27"
"Zimapán","","","24.2"
"Jalisco","16.5","20.6","22"
"Acatic","","","23.1"
"Acatlán de Juárez","","","20.8"
"Ahualulco de Mercado","","","17"
"Amacueca","","","27.2"
"Amatitán","","","30.8"
"Ameca","","","19.8"
"San Juanito de Escobedo","","","18.1"
"Arandas","","","32"
"El Arenal","","","26.3"
"Atemajac de Brizuela","","","21.4"
"Atengo","","","20.2"
"Atenguillo","","","14.3"
"Atotonilco el Alto","","","22.4"
"Atoyac","","","21.3"
"Autlán de Navarro","","","24.1"
"Ayotlán","","","30.5"
"Ayutla","","","24.1"
"La Barca","","","23"
"Bolaños","","","16.7"
"Cabo Corrientes","","","41.8"
"Casimiro Castillo","","","24"
"Cihuatlán","","","30.9"
"Zapotlán el Grande","","","22.5"
"Cocula","","","15.7"
"Colotlán","","","17.4"
"Concepción de Buenos Aires","","","11"
"Cuautitlán de García Barragán","","","32"
"Cuautla","","","14.1"
"Cuquío","","","26"
"Chapala","","","16"
"Chimaltitán","","","22.5"
"Chiquilistlán","","","29.9"
"Degollado","","","23.2"
"Ejutla","","","11.3"
"Encarnación de Díaz","","","31"
"Etzatlán","","","18.6"
"El Grullo","","","19"
"Guachinango","","","16.4"
"Guadalajara","","","18.9"
"Hostotipaquillo","","","36.2"
"Huejúcar","","","14.9"
"Huejuquilla el Alto","","","27.6"
"La Huerta","","","22.2"
"Ixtlahuacán de los Membrillos","","","22.8"
"Ixtlahuacán del Río","","","22"
"Jalostotitlán","","","26.7"
"Jamay","","","17.5"
"Jesús María","","","29.4"
"Jilotlán de los Dolores","","","25"
"Jocotepec","","","29.7"
"Juanacatlán","","","24.7"
"Juchitlán","","","16.7"
"Lagos de Moreno","","","36.1"
"El Limón","","","9.9"
"Magdalena","","","29.8"
"Santa María del Oro","","","23.7"
"La Manzanilla de la Paz","","","12.3"
"Mascota","","","13.6"
"Mazamitla","","","20.1"
"Mexticacán","","","16.8"
"Mezquitic","","","29.6"
"Mixtlán","","","18.7"
"Ocotlán","","","23.4"
"Ojuelos de Jalisco","","","38.9"
"Pihuamo","","","24.8"
"Poncitlán","","","36.5"
"Puerto Vallarta","","","25.1"
"Villa Purificación","","","29.4"
"Quitupan","","","24.2"
"El Salto","","","29.9"
"San Cristóbal de la Barranca","","","24.7"
"San Diego de Alejandría","","","22.7"
"San Juan de los Lagos","","","27.6"
"San Julián","","","20.4"
"San Marcos","","","21.8"
"San Martín de Bolaños","","","33.3"
"San Martín Hidalgo","","","14.8"
"San Miguel el Alto","","","27.6"
"Gómez Farías","","","20.2"
"San Sebastián del Oeste","","","16.4"
"Santa María de los Ángeles","","","13.7"
"Sayula","","","17.7"
"Tala","","","25.8"
"Talpa de Allende","","","27.3"
"Tamazula de Gordiano","","","15.5"
"Tapalpa","","","27.3"
"Tecalitlán","","","30.9"
"Tecolotlán","","","23.6"
"Techaluta de Montenegro","","","18"
"Tenamaxtlán","","","19.4"
"Teocaltiche","","","26.8"
"Teocuitatlán de Corona","","","19"
"Tepatitlán de Morelos","","","26.3"
"Tequila","","","31.8"
"Teuchitlán","","","22.3"
"Tizapán el Alto","","","26.3"
"Tlajomulco de Zúñiga","","","22.7"
"San Pedro Tlaquepaque","","","27.6"
"Tolimán","","","31.6"
"Tomatlán","","","36.5"
"Tonalá","","","24"
"Tonaya","","","17"
"Tonila","","","16.7"
"Totatiche","","","12.8"
"Tototlán","","","18.2"
"Tuxcacuesco","","","22.6"
"Tuxcueca","","","22.5"
"Tuxpan","","","26.7"
"Unión de San Antonio","","","46.5"
"Unión de Tula","","","14.7"
"Valle de Guadalupe","","","20.2"
"Valle de Juárez","","","20.2"
