"8.2.1.Tasa de crecimiento del PIB por persona ocupada",""
"Periodo","Tasa de crecimiento del PIB por persona ocupada"
"2016","2.5"
"2015","-1.7"
"2014","5.1"
"2013","1.7"
"2012","1.5"
"2011","7.1"
"2010","4.8"
"2009","-1.9"
"2008","4.1"
"2007","3.8"
"2006","7.4"
"2005","7"
"2004","4.9"
"2003","2"
"2002","0.2"
"2001","0.6"
"2000","5.2"
"1999","5.3"
"1998","2.9"
"1997","2.9"
"1996","2.4"
